Time:ulong,Power:float,Energy:float
"14492500000","13.42737","71517.8"
"14493000000","13.42737","71524.5"
"14493500000","13.42737","71531.2"
"14494000000","13.42737","71538.0"
"14494500000","13.42737","71544.7"
"14495000000","13.42737","71551.4"
"14495500000","13.42737","71558.1"
"14496000000","13.42737","71564.8"
"14496500000","13.42737","71571.5"
"14497000000","13.42737","71578.2"
"14497500000","13.42737","71585.0"
"14498000000","13.42737","71591.7"
"14498500000","13.42737","71598.4"
"14499000000","13.42737","71605.1"
"14499500000","13.42737","71611.8"
"14500000000","13.25016","71618.5"
"14500500000","13.25016","71625.2"
"14501000000","13.25016","71631.6"
"14501500000","13.25016","71638.3"
"14502000000","13.42737","71645.0"
"14502500000","13.42737","71651.7"
"14503000000","13.42737","71658.5"
"14503500000","13.42737","71665.2"
"14504000000","13.42737","71671.9"
"14504500000","13.42737","71678.6"
"14505000000","13.42737","71685.3"
"14505500000","13.42737","71692.0"
"14506000000","13.42737","71698.7"
"14506500000","13.42737","71705.4"
"14507000000","13.42737","71712.2"
"14507500000","13.42737","71718.9"
"14508000000","13.42737","71725.6"
"14508500000","13.42737","71732.3"
"14509000000","13.42737","71739.0"
"14509500000","13.42737","71745.7"
"14510000000","13.42737","71752.4"
"14510500000","13.42737","71759.2"
"14511000000","13.42737","71765.9"
"14511500000","13.42737","71772.6"
"14512000000","13.42737","71779.3"
"14512500000","13.42737","71786.0"
"14513000000","13.42737","71792.7"
"14513500000","13.42737","71799.4"
"14514000000","13.42737","71806.1"
"14514500000","13.42737","71812.9"
"14515000000","13.42737","71819.6"
"14515500000","13.42737","71826.3"
"14516000000","13.42737","71833.0"
"14516500000","13.42737","71839.7"
"14517000000","13.42737","71846.4"
"14517500000","13.42737","71853.1"
"14518000000","13.25016","71859.5"
"14518500000","13.25016","71866.2"
"14519000000","13.25016","71872.9"
"14519500000","13.25016","71879.6"
"14520000000","13.42737","71886.4"
"14520500000","13.42737","71893.1"
"14521000000","13.42737","71899.8"
"14521500000","13.42737","71906.5"
"14522000000","13.42737","71913.2"
"14522500000","13.42737","71919.9"
"14523000000","13.42737","71926.6"
"14523500000","13.42737","71933.4"
"14524000000","13.42737","71940.1"
"14524500000","13.42737","71946.8"
"14525000000","13.42737","71953.5"
"14525500000","13.42737","71960.2"
"14526000000","13.42737","71966.9"
"14526500000","13.42737","71973.6"
"14527000000","13.42737","71980.4"
"14527500000","13.42737","71987.1"
"14528000000","13.42737","71993.8"
"14528500000","13.42737","72000.5"
"14529000000","13.42737","72007.2"
"14529500000","13.42737","72013.9"
"14530000000","13.42737","72020.6"
"14530500000","13.42737","72027.3"
"14531000000","13.42737","72034.1"
"14531500000","13.42737","72040.8"
"14532000000","13.25016","72047.1"
"14532500000","13.25016","72053.8"
"14533000000","13.25016","72060.6"
"14533500000","13.25016","72067.3"
"14534000000","13.42737","72074.0"
"14534500000","13.42737","72080.7"
"14535000000","13.42737","72087.4"
"14535500000","13.42737","72094.1"
"14536000000","13.42737","72100.8"
"14536500000","13.42737","72107.6"
"14537000000","13.42737","72114.3"
"14537500000","13.42737","72121.0"
"14538000000","13.42737","72127.7"
"14538500000","13.42737","72134.4"
"14539000000","13.42737","72141.1"
"14539500000","13.42737","72147.8"
"14540000000","13.42737","72154.6"
"14540500000","13.42737","72161.3"
"14541000000","13.42737","72168.0"
"14541500000","13.42737","72174.7"
"14542000000","13.42737","72181.4"
"14542500000","13.42737","72188.1"
"14543000000","13.42737","72194.8"
"14543500000","13.42737","72201.5"
"14544000000","13.42737","72208.3"
"14544500000","13.42737","72215.0"
"14545000000","13.42737","72221.7"
"14545500000","13.42737","72228.4"
"14546000000","13.25016","72235.1"
"14546500000","13.25016","72241.5"
"14547000000","13.25016","72248.2"
"14547500000","13.25016","72254.9"
"14548000000","13.42737","72261.6"
"14548500000","13.42737","72268.3"
"14549000000","13.42737","72275.0"
"14549500000","13.42737","72281.8"
"14550000000","13.42737","72288.5"
"14550500000","13.42737","72295.2"
"14551000000","13.42737","72301.9"
"14551500000","13.42737","72308.6"
"14552000000","13.42737","72315.3"
"14552500000","13.42737","72322.0"
"14553000000","13.42737","72328.8"
"14553500000","13.42737","72335.5"
"14554000000","13.42737","72342.2"
"14554500000","13.42737","72348.9"
"14555000000","13.42737","72355.6"
"14555500000","13.42737","72362.3"
"14556000000","13.42737","72369.0"
"14556500000","13.42737","72375.7"
"14557000000","13.42737","72382.5"
"14557500000","13.42737","72389.2"
"14558000000","13.42737","72395.9"
"14558500000","13.42737","72402.6"
"14559000000","13.42737","72409.3"
"14559500000","13.42737","72416.0"
"14560000000","13.42737","72422.7"
"14560500000","13.42737","72429.5"
"14561000000","13.42737","72436.2"
"14561500000","13.42737","72442.9"
"14562000000","13.25016","72449.6"
"14562500000","13.25016","72456.3"
"14563000000","13.25016","72463.0"
"14563500000","13.25016","72469.4"
"14564000000","13.42737","72476.1"
"14564500000","13.42737","72482.8"
"14565000000","13.42737","72489.5"
"14565500000","13.42737","72496.2"
"14566000000","13.42737","72503.0"
"14566500000","13.42737","72509.7"
"14567000000","13.42737","72516.4"
"14567500000","13.42737","72523.1"
"14568000000","13.42737","72529.8"
"14568500000","13.42737","72536.5"
"14569000000","13.42737","72543.2"
"14569500000","13.42737","72549.9"
"14570000000","13.42737","72556.7"
"14570500000","13.42737","72563.4"
"14571000000","13.42737","72570.1"
"14571500000","13.42737","72576.8"
"14572000000","13.42737","72583.5"
"14572500000","13.42737","72590.2"
